gene	OMIMG	Disease	OMIMP	Inheritance
MEG3	605636			
MEG8	613648			
MEGF10	612453	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, mild variant; Myopathy, areflexia, respiratory distress, and dysphagia, early-onset	614399; 614399	AR
MEGF11	612454			
MEGF6	604266			
MEGF8	604267	Carpenter syndrome 2	614976	AR
MEGF9	604268			
MEI1	608797	Hydatidiform mole, recurrent, 3	618431	AR
MEI4	618417			
MEIG1	614174			
MEIKIN	616232			
MEIOB	617670	?Spermatogenic failure 22	617706	AR
MEIOC	616934			
MEIS1	601739			
MEIS2	601740	Cleft palate, cardiac defects, and mental retardation	600987	AD
MEIS3	619443			
MELK	607025			
MELTF	155750			
MEMO1	611786			
MEN1	613733	Lipoma, somatic; Angiofibroma, somatic; Multiple endocrine neoplasia 1; Carcinoid tumor of lung; Adrenal adenoma, somatic; Parathyroid adenoma, somatic	<NA>; <NA>; 131100; <NA>; <NA>; <NA>	AD
MEOX1	600147	Klippel-Feil syndrome 2	214300	AR
MEOX2	600535			
MEP1A	600388			
MEP1B	600389			
MEPCE	611478			
MEPE	605912			
MERTK	604705	Retinitis pigmentosa 38	613862	AR
MESD	607783	Osteogenesis imperfecta, type XX	618644	AR
MESP1	608689			
MESP2	605195	Spondylocostal dysostosis 2, autosomal recessive	608681	AR
MEST	601029			
MESTIT1	607794			
MET	164860	Renal cell carcinoma, papillary, 1, familial and somatic; ?Arthrogryposis, distal, type 11; Hepatocellular carcinoma, childhood type, somatic; {Osteofibrous dysplasia, susceptibility to}; ?Deafness, autosomal recessive 97	605074; 620019; 114550; 607278; 616705	AR; AD
METAP1	610151			
METAP1D	610267			
METAP2	601870			
METRN	610998			
METRNL	616241			
METTL1	604466			
METTL13	617987	{?Deafness, autosomal recessive 26, modifier of}	605429	AD
METTL14	616504			
METTL15	618711			
METTL17	616091			
METTL18	615255			
METTL21A	615257			
METTL21C	615259			
METTL22	615261			
METTL23	615262	Intellectual developmental disorder, autosomal recessive 44	615942	AR
METTL27	612546			
METTL2A	618902			
METTL2B	607846			
METTL3	612472			
METTL4	619626			
METTL5	618628	Intellectual developmental disorder, autosomal recessive 72	618665	AR
METTL6	618903			
METTL7A	618338			
METTL8	609525			
METTL9	609388			
MEX3A	611007			
MEX3B	611008			
MEX3C	611005			
MEX3D	611009			
MFAP1	600215			
MFAP2	156790			
MFAP3	600491			
MFAP3L	616523			
MFAP4	600596			
MFAP5	601103	Aortic aneurysm, familial thoracic 9	616166	AD
MFF	614785	Encephalopathy due to defective mitochondrial and peroxisomal fission 2	617086	AR
MFGE8	602281			
MFHAS1	605352	Malignant fibrous histiocytoma	605352	
MFN1	608506			
MFN2	608507	Charcot-Marie-Tooth disease, axonal, type 2A2A; Charcot-Marie-Tooth disease, axonal, type 2A2B; Hereditary motor and sensory neuropathy VIA	609260; 617087; 601152	AR; AD
MFNG	602577			
MFRP	606227	Microphthalmia, isolated 5; Nanophthalmos 2	611040; 609549	AR
MFSD1	619976			
MFSD10	610977			
MFSD12	617745			
MFSD2A	614397	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities	616486	AR
MFSD2B	617845			
MFSD4B	617331			
MFSD6	613476			
MFSD8	611124	Macular dystrophy with central cone involvement; Ceroid lipofuscinosis, neuronal, 7	616170; 610951	AR
MGA	616061			
MGAM	154360			
MGARP	619684			
MGAT1	160995			
MGAT2	602616	Congenital disorder of glycosylation, type IIa	212066	AR
MGAT3	604621			
MGAT4A	604623			
MGAT4B	604561			
MGAT4C	607385			
MGAT4D	610310			
MGAT5	601774			
MGAT5B	612441			
MGLL	609699			
MGME1	615076	Mitochondrial DNA depletion syndrome 11	615084	AR
MGMT	156569			
MGP	154870	Keutel syndrome	245150	AR
MGRN1	607559			
MGST1	138330			
MGST2	601733			
MGST3	604564			
MHRT	616096			
MIA	601340			
MIA2	602132			
MIA3	613455	?Ondontochondrodysplasia 2 with hearing loss and diabetes	619269	AR
MIAT	611082	{Myocardial infarction, susceptibility to}	608446	
MIB1	608677	Left ventricular noncompaction 7	615092	AD
MIB2	611141			
MICA	600169			
MICAL1	607129			
MICAL2	608881			
MICAL3	608882			
MICALL1	619563			
MICB	602436			
MICOS10	616574			
MICOS13	616658	Combined oxidative phosphorylation deficiency 37	618329	AR
MICU1	605084	Myopathy with extrapyramidal signs	615673	AR
MICU2	610632			
MICU3	610633			
MID1	300552	Opitz GBBB syndrome	300000	XLR
MID1IP1	300961			
MID2	300204	?Intellectual developmental disorder, X-linked 101	300928	XLR
MIDN	606700			
MIEF1	615497			
MIEF2	615498	?Combined oxidative phosphorylation deficiency 49	619024	AR
MIEN1	611802			
MIER1	616848			
MIER2	620092			
MIER3	620100			
MIF	153620	{Rheumatoid arthritis, systemic juvenile, susceptibility to}	604302	
MIF4GD	612072			
MIGA1	616773			
MIGA2	616774			
MIIP	608772			
MINAR1	618054			
MINDY1	618407			
MINDY2	618408			
MINDY3	611649			
MINK1	609426			
MINPP1	605391	{Thyroid carcinoma, follicular}; Pontocerebellar hypoplasia, type 16	188470; 619527	Somatic mutation, AD; AR
MIOS	615359			
MIOX	606774			
MIP	154050	Cataract 15, multiple types	615274	AD
MIPEP	602241	Combined oxidative phosphorylation deficiency 31	617228	AR
MIPOL1	606850			
MIR1-1	609326			
MIR1-2	610252			
MIR100	613186			
MIR100HG	615965			
MIR101-1	612511			
MIR101-2	612512			
MIR103A1	613187			
MIR103A2	613188			
MIR105-1	300811			
MIR105-2	300812			
MIR106A	300792			
MIR106B	612983			
MIR107	613189			
MIR10A	610173			
MIR10B	611576			
MIR122	609582			
MIR1224	611620			
MIR1225	611621			
MIR1231	617040			
MIR124-1	609327			
MIR1258	614488			
MIR125A	611191			
MIR125B1	610104			
MIR125B2	610105			
MIR126	611767			
MIR1260B	615372			
MIR127	611709			
MIR128-1	611774			
MIR128-2	611769			
MIR1292	614155			
MIR130A	610175			
MIR130B	613682			
MIR132	610016			
MIR133A1	610254			
MIR133A2	610255			
MIR133B	610946			
MIR134	610164			
MIR135B	619560			
MIR136	611710			
MIR137	614304			
MIR138-1	613394			
MIR138-2	613395			
MIR139	615017			
MIR140	611894	Spondyloepiphyseal dysplasia, Nishimura type	618618	AD
MIR141	612093			
MIR142	615657			
MIR143	612117			
MIR144	612070			
MIR145	611795			
MIR146A	610566			
MIR146B	610567			
MIR148A	613786			
MIR148B	613787			
MIR149	615209			
MIR150	611114			
MIR151A	620127			
MIR152	613788			
MIR155	609337			
MIR15A	609703			
MIR15B	619572			
MIR16-1	609704			
MIR17	609416			
MIR17HG	609415			
MIR181A1	612742			
MIR181A2	612743			
MIR181B1	612744			
MIR181B2	612745			
MIR181C	612746			
MIR182	611607			
MIR183	611608			
MIR184	613146	EDICT syndrome	614303	AD
MIR185	615576			
MIR187	612698			
MIR18A	609417			
MIR1909	615201			
MIR190A	615845			
MIR191	615150			
MIR1915	615202			
MIR192	610939			
MIR193A	614733			
MIR193B	614734			
MIR194-1	610940			
MIR194-2	610941			
MIR195	610718			
MIR196A1	608632			
MIR196A2	609687			
MIR196B	609688			
MIR197	611189			
MIR199A1	610719			
MIR199A2	610720			
MIR199B	614791			
MIR19A	609418			
MIR19B1	609419			
MIR19B2	300722			
MIR200A	612090			
MIR200B	612091			
MIR200C	612092			
MIR203A	611899			
MIR204	610942	?Retinal dystrophy and iris coloboma with or without cataract	616722	AD
MIR205	613147			
MIR206	611599			
MIR208A	611116			
MIR208B	613613			
MIR20A	609420			
MIR20B	300950			
MIR21	611020			
MIR210	612982			
MIR211	613753			
MIR212	613487			
MIR214	610721			
MIR215	610943			
MIR216A	610944			
MIR217	615096			
MIR218-1	616770			
MIR218-2	616771			
MIR219A1	611500			
MIR22	612077			
MIR221	300568			
MIR222	300569			
MIR223	300694			
MIR224	300769			
MIR23A	607962			
MIR23B	610723			
MIR24-1	609705			
MIR24-2	610724			
MIR25	612150			
MIR26A1	612151			
MIR26A2	613057			
MIR26B	612152			
MIR27A	612153			
MIR27B	610636			
MIR28	612154			
MIR2861	613405	[Bone mineral density QTL 15]	613418	AR, AD
MIR296	610945			
MIR297	615520			
MIR298	614914			
MIR29A	610782			
MIR29B1	610783			
MIR29B2	619035			
MIR29C	610784			
MIR301A	615675			
MIR302A	614596			
MIR302B	614597			
MIR302C	614598			
MIR302D	614599			
MIR30A	612329			
MIR30B	619018			
MIR30C1	615151			
MIR30D	619019			
MIR30E	619105			
MIR31	612155			
MIR3120	614722			
MIR31HG	616356			
MIR32	609355			
MIR320A	614112			
MIR326	613755			
MIR328	613701			
MIR335	611768			
MIR338	614059			
MIR339	615977			
MIR33A	612156			
MIR33B	613486			
MIR346	611190			
MIR34A	611172			
MIR34B	611374			
MIR34C	611375			
MIR365A	614735			
MIR367	614600			
MIR369	611794			
MIR370	612553			
MIR371A	612043			
MIR372	612044			
MIR373	611954			
MIR375	611173			
MIR376A1	610959			
MIR376A2	610960			
MIR376B	610961			
MIR376C	610983			
MIR378A	611957			
MIR379	616358			
MIR380	613654			
MIR409	614057			
MIR410	615036			
MIR424	300682			
MIR4271	617176			
MIR4276	616274			
MIR429	612094			
MIR431	611708			
MIR433	611711			
MIR4435-2HG	617144			
MIR4449	614627			
MIR448	300686			
MIR449A	613131			
MIR449B	613132			
MIR451A	612071			
MIR485	615385			
MIR487B	615037			
MIR489	614523			
MIR490	616972			
MIR492	614384			
MIR494	616036			
MIR495	615149			
MIR497	615672			
MIR499A	613614			
MIR502	300893			
MIR503	300865			
MIR505	301053			
MIR506	300877			
MIR508	300874			
MIR509-1	300875			
MIR509-3	300876			
MIR510	300866			
MIR519D	614247			
MIR520C	615908			
MIR520G	616272			
MIR520H	614755			
MIR532	301023			
MIR551A	615148			
MIR558	616473			
MIR570	614538			
MIR574	615469			
MIR590	615070			
MIR610	612330			
MIR616	614489			
MIR648	616205			
MIR650	615379			
MIR656	616376			
MIR659	613556			
MIR661	613716			
MIR671	615245			
MIR675	615509			
MIR7-1	615239			
MIR718	300929			
MIR766	301062			
MIR802	616090			
MIR873	616137			
MIR874	619450			
MIR877	611619			
MIR887	620117			
MIR9-1	611186			
MIR9-1HG	618747			
MIR9-2	611187			
MIR9-3	611188			
MIR92A1	609422			
MIR92A2	301092			
MIR93	612984			
MIR95	613185			
MIR96	611606	Deafness, autosomal dominant 50	613074	AD
MIR98	300810			
MIR99A	614509			
MIR99AHG	615964			
MIR99B	614510			
MIRLET7A1	605386			
MIRLET7A2	612142			
MIRLET7A3	612143			
MIRLET7B	611249			
MIRLET7BHG	618216			
MIRLET7C	612144			
MIRLET7D	612145			
MIRLET7E	611250			
MIRLET7F1	612146			
MIRLET7F2	300721			
MIRLET7G	612102			
MIRLET7I	612148			
MIS12	609178			
MIS18A	618137			
MIS18BP1	618139			
MISP	615289			
MITF	156845	Waardenburg syndrome, type 2A; {Melanoma, cutaneous malignant, susceptibility to, 8}; Tietz albinism-deafness syndrome; Waardenburg syndrome/ocular albinism, digenic; COMMAD syndrome	193510; 614456; 103500; 103470; 617306	AR; AD
MIXL1	609852			
MKI67	176741			
MKKS	604896	McKusick-Kaufman syndrome; Bardet-Biedl syndrome 6	236700; 605231	AR
MKLN1	605623			
MKNK1	606724			
MKNK2	605069			
MKRN1	607754			
MKRN2	608426			
MKRN3	603856	Precocious puberty, central, 2	615346	AD
MKS1	609883	Bardet-Biedl syndrome 13; Meckel syndrome 1; Joubert syndrome 28	615990; 249000; 617121	AR
MKX	601332			
MLANA	605513			
MLC1	605908	Megalencephalic leukoencephalopathy with subcortical cysts 1	604004	AR
MLEC	613802			
MLF1	601402			
MLF2	601401			
MLH1	120436	Lynch syndrome 2; Muir-Torre syndrome; Mismatch repair cancer syndrome 1	609310; 158320; 276300	AR; AD
MLH3	604395	{Endometrial cancer, susceptibility to}; Colorectal cancer, somatic; Colorectal cancer, hereditary nonpolyposis, type 7	608089; 114500; 614385	Somatic mutation, AD
MLIP	614106			
MLKL	615153			
MLLT1	159556			
MLLT10	602409	Leukemia, acute myeloid	601626	Somatic mutation, AD
MLLT11	604684			
MLLT3	159558			
MLLT6	600328			
MLN	158270			
MLNR	602885			
MLPH	606526	Griscelli syndrome, type 3	609227	AR
MLST8	612190			
MLX	602976			
MLXIP	608090			
MLXIPL	605678			
MLYCD	606761	Malonyl-CoA decarboxylase deficiency	248360	AR
MMAA	607481	Methylmalonic aciduria, vitamin B12-responsive, cblA type	251100	AR
MMAB	607568	Methylmalonic aciduria, vitamin B12-responsive, cblB type	251110	AR
MMACHC	609831	Methylmalonic aciduria and homocystinuria, cblC type	277400	AR
MMADHC	611935	Methylmalonic aciduria, cblD type, variant 2; Methylmalonic aciduria and homocystinuria, cblD type; Homocystinuria, cblD type, variant 1	277410; 277410; 277410	AR
MMD	604467			
MMD2	614581			
MME	120520	?Spinocerebellar ataxia 43; Charcot-Marie-Tooth disease, axonal, type 2T	617018; 617017	AD; AR, AD
MMEL1	618104			
MMP1	120353	COPD, rate of decline of lung function in; {Epidermolysis bullosa dystrophica, autosomal recessive, modifier of}	606963; 226600	AR
MMP10	185260			
MMP11	185261			
MMP12	601046			
MMP13	600108	?Spondyloepimetaphyseal dysplasia, Missouri type; Metaphyseal anadysplasia 1; Metaphyseal dysplasia, Spahr type	602111; 602111; 250400	AR; AD
MMP14	600754	?Winchester syndrome	277950	
MMP15	602261			
MMP16	602262			
MMP17	602285			
MMP19	601807	Cavitary optic disc anomalies	611543	AD
MMP2	120360	Multicentric osteolysis, nodulosis, and arthropathy	259600	AR
MMP20	604629	Amelogenesis imperfecta, type IIA2	612529	AR
MMP21	608416	Heterotaxy, visceral, 7, autosomal	616749	AR
MMP23A	603320			
MMP23B	603321			
MMP24	604871			
MMP25	608482			
MMP26	605470			
MMP27	618101			
MMP28	608417			
MMP3	185250	{Coronary heart disease, susceptibility to, 6}	614466	
MMP7	178990			
MMP8	120355			
MMP9	120361	Metaphyseal anadysplasia 2	613073	AR
MMRN1	601456			
MMRN2	608925			
MMS19	614777			
MMS22L	615614			
MMUT	609058	Methylmalonic aciduria, mut(0) type	251000	AR
MN1	156100	CEBALID syndrome; Meningioma	618774; 607174	AD
MNAT1	602659			
MND1	611422			
MNDA	159553			
MNS1	610766	Heterotaxy, visceral, 9, autosomal, with male infertility	618948	AR
MNT	603039			
MNX1	142994	Currarino syndrome	176450	AD
MOAP1	609485			
MOB1A	609281			
MOB1B	609282			
MOB2	611969			
MOB3B	617652			
MOB4	609361			
MOBP	600948			
MOCOS	613274	Xanthinuria, type II	603592	AR
MOCS1	603707	Molybdenum cofactor deficiency A	252150	AR
MOCS2	603708	Molybdenum cofactor deficiency B	252160	AR
MOCS3	609277			
MOG	159465	?Narcolepsy 7	614250	AD
MOGAT1	610268			
MOGAT2	610270			
MOGAT3	610184			
MOGS	601336	Congenital disorder of glycosylation, type IIb	606056	AR
MOK	605762			
MON1A	611464			
MON1B	608954			
MON2	616822			
MORC1	603205			
MORC2	616661	Charcot-Marie-Tooth disease, axonal, type 2Z; Developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy	616688; 619090	AD
MORC3	610078			
MORC4	300970			
MORF4	116960			
MORF4L1	607303			
MORF4L2	300409			
MORN4	617736			
MORN5	619837			
MOS	190060			
MOSPD1	300674			
MOSPD2	301086			
MOSPD3	609125			
MOV10	610742			
MOV10L1	605794	?Spermatogenic failure 73	619878	AR
MOXD1	609000			
MPC1	614738	Mitochondrial pyruvate carrier deficiency	614741	AR
MPC2	614737			
MPDU1	604041	Congenital disorder of glycosylation, type If	609180	AR
MPDZ	603785	Hydrocephalus, congenital, 2, with or without brain or eye anomalies	615219	AR
MPEG1	610390	Immunodeficiency 77	619223	AD
MPG	156565			
MPHOSPH10	605503			
MPHOSPH6	605500			
MPHOSPH8	611626			
MPHOSPH9	605501			
MPI	154550	Congenital disorder of glycosylation, type Ib	602579	AR
MPIG6B	606520	?Thrombocytopenia, anemia, and myelofibrosis	617441	AR
MPL	159530	Myelofibrosis with myeloid metaplasia, somatic; Thrombocythemia 2; Thrombocytopenia, congenital amegakaryocytic	254450; 601977; 604498	Somatic mutation, AD; AR
MPLKIP	609188	Trichothiodystrophy 4, nonphotosensitive	234050	AR
MPO	606989	{Alzheimer disease, susceptibility to}; Myeloperoxidase deficiency; {Lung cancer, protection against, in smokers}	104300; 254600; <NA>	AR; AD
MPP1	305360			
MPP2	600723			
MPP3	601114			
MPP4	606575			
MPP7	610973			
MPPE1	611900			
MPPED1	602112			
MPPED2	600911			
MPRIP	612935			
MPST	602496			
MPV17	137960	Charcot-Marie-Tooth disease, axonal, type 2EE; Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	618400; 256810	AR
MPV17L	618100			
MPV17L2	616133			
MPZ	159440	Charcot-Marie-Tooth disease, type 2I; Dejerine-Sottas disease; Charcot-Marie-Tooth disease, type 1B; Roussy-Levy syndrome; Charcot-Marie-Tooth disease, dominant intermediate D; Hypomyelinating neuropathy, congenital, 2; Charcot-Marie-Tooth disease, type 2J	607677; 145900; 118200; 180800; 607791; 618184; 607736	AD; AR, AD
MPZL1	604376			
MPZL2	604873	Deafness, autosomal recessive 111	618145	AR
MPZL3	611707			
MR1	600764			
MRAP	609196	Glucocorticoid deficiency 2	607398	AR
MRAP2	615410	{?Obesity, susceptibility to, BMIQ18}	615457	AD
MRAS	608435	Noonan syndrome 11	618499	AD
MRC1	153618			
MRC2	612264			
MRE11	600814	Ataxia-telangiectasia-like disorder 1	604391	AR
MREG	609207			
MRFAP1	616905			
MRGBP	611157			
MRGPRD	607231			
MRGPRE	607232			
MRGPRF	607233			
MRGPRG	607234			
MRGPRX1	607227			
MRGPRX2	607228			
MRGPRX3	607229			
MRGPRX4	607230			
MRI1	615105			
MRLN	616246			
MRM1	618099			
MRM2	606906	?Mitochondrial DNA depletion syndrome 17	618567	AR
MRM3	612600			
MRNIP	617154			
MRO	608080			
MRPL1	611821			
MRPL10	611825			
MRPL11	611826			
MRPL12	602375	?Combined oxidative phosphorylation deficiency 45	618951	AR
MRPL13	610200			
MRPL14	611827			
MRPL15	611828			
MRPL16	611829			
MRPL17	611830			
MRPL18	611831			
MRPL19	611832			
MRPL2	611822			
MRPL20	611833			
MRPL21	611834			
MRPL22	611835			
MRPL23	600789			
MRPL24	611836			
MRPL27	611837			
MRPL28	604853			
MRPL3	607118	Combined oxidative phosphorylation deficiency 9	614582	AR
MRPL30	611838			
MRPL32	611839			
MRPL33	610059			
MRPL34	611840			
MRPL35	611841			
MRPL36	611842			
MRPL37	611843			
MRPL38	611844			
MRPL39	611845			
MRPL4	611823			
MRPL40	605089			
MRPL41	611846			
MRPL42	611847			
MRPL43	611848			
MRPL44	611849	Combined oxidative phosphorylation deficiency 16	615395	AR
MRPL45	611850			
MRPL46	611851			
MRPL47	611852			
MRPL48	611853			
MRPL49	606866			
MRPL50	611854			
MRPL51	611855			
MRPL52	611856			
MRPL53	611857			
MRPL54	611858			
MRPL55	611859			
MRPL57	611997			
MRPL58	603000			
MRPL9	611824			
MRPS10	611976			
MRPS11	611977			
MRPS12	603021			
MRPS14	611978	?Combined oxidative phosphorylation deficiency 38	618378	AR
MRPS15	611979			
MRPS16	609204	Combined oxidative phosphorylation deficiency 2	610498	AR
MRPS17	611980			
MRPS18A	611981			
MRPS18B	611982			
MRPS18C	611983			
MRPS2	611971	Combined oxidative phosphorylation deficiency 36	617950	AR
MRPS21	611984			
MRPS22	605810	Ovarian dysgenesis 7; Combined oxidative phosphorylation deficiency 5	618117; 611719	AR
MRPS23	611985	?Combined oxidative phosphorylation deficiency 46	618952	AR
MRPS24	611986			
MRPS25	611987	?Combined oxidative phosphorylation deficiency 50	619025	AR
MRPS26	611988			
MRPS27	611989			
MRPS28	611990	?Combined oxidative phosphorylation deficiency 47	618958	AR
MRPS30	611991			
MRPS31	611992			
MRPS33	611993			
MRPS34	611994	Combined oxidative phosphorylation deficiency 32	617664	AR
MRPS35	611995			
MRPS36	611996			
MRPS5	611972			
MRPS6	611973			
MRPS7	611974	?Combined oxidative phosphorylation deficiency 34	617872	AR
MRPS9	611975			
MRRF	604602			
MRS2	619307			
MRTFA	606078	?Immunodeficiency 66	618847	AR
MRTFB	609463			
MS4A1	112210	?Immunodeficiency, common variable, 5	613495	AR
MS4A10	608403			
MS4A12	606550			
MS4A2	147138	{Atopy, susceptibility to}	147050	AD
MS4A3	606498			
MS4A4A	606547			
MS4A4E	608401			
MS4A5	606499			
MS4A6A	606548			
MS4A6E	608402			
MS4A7	606502			
MS4A8	606549			
MSC	603628			
MSGN1	612209			
MSH2	609309	Lynch syndrome 1; Muir-Torre syndrome; Mismatch repair cancer syndrome 2	120435; 158320; 619096	AR; AD
MSH3	600887	Familial adenomatous polyposis 4; Endometrial carcinoma, somatic	617100; 608089	AR
MSH4	602105	Premature ovarian failure 20; Spermatogenic failure 2	619938; 108420	AR
MSH5	603382	?Premature ovarian failure 13; Spermatogenic failure 74	617442; 619937	AR
MSH6	600678	Lynch syndrome 5; Mismatch repair cancer syndrome 3; {Endometrial cancer, familial}	614350; 619097; 608089	Somatic mutation, AD; AR; AD
MSI1	603328			
MSI2	607897			
MSL1	614801			
MSL2	614802			
MSL3	300609	Basilicata-Akhtar syndrome	301032	XLD
MSLN	601051			
MSMB	157145	{Prostate cancer, hereditary, 13}	611928	
MSMO1	607545	Microcephaly, congenital cataract, and psoriasiform dermatitis	616834	AR
MSMP	612191			
MSN	309845	Immunodeficiency 50	300988	XLR
MSR1	153622	Barrett esophagus/esophageal adenocarcinoma	614266	
MSRA	601250			
MSRB1	606216			
MSRB2	613782			
MSRB3	613719	Deafness, autosomal recessive 74	613718	AR
MSS51	614773			
MST1	142408			
MST1R	600168	{Nasopharyngeal carcinoma, susceptibility to, 3}	617075	AD
MSTN	601788	?Muscle hypertrophy	614160	AR
MSTO1	617619	Myopathy, mitochondrial, and ataxia	617675	AR, AD
MSX1	142983	Tooth agenesis, selective, 1, with or without orofacial cleft; Ectodermal dysplasia 3, Witkop type; Orofacial cleft 5	106600; 189500; 608874	AD
MSX2	123101	Parietal foramina with cleidocranial dysplasia; Craniosynostosis 2; Parietal foramina 1	168550; 604757; 168500	AD
MT-ATP6	516060			
MT-ATP8	516070			
MT-CO1	516030			
MT-CO2	516040			
MT-CO3	516050			
MT-CYB	516020			
MT-ND1	516000			
MT-ND2	516001			
MT-ND3	516002			
MT-ND4	516003			
MT-ND4L	516004			
MT-ND5	516005			
MT-ND6	516006			
MT-RNR1	561000			
MT-RNR2	561010			
MT-TA	590000			
MT-TC	590020			
MT-TD	590015			
MT-TE	590025			
MT-TF	590070			
MT-TG	590035			
MT-TH	590040			
MT-TI	590045			
MT-TK	590060			
MT-TL1	590050			
MT-TL2	590055			
MT-TM	590065			
MT-TN	590010			
MT-TP	590075			
MT-TQ	590030			
MT-TR	590005			
MT-TS1	590080			
MT-TS2	590085			
MT-TT	590090			
MT-TV	590105			
MT-TW	590095			
MT-TY	590100			
MT1A	156350			
MT1B	156349			
MT1E	156351			
MT1F	156352			
MT1G	156353			
MT1H	156354			
MT1IP	156355			
MT1JP	156356			
MT1L	156358			
MT1M	156357			
MT1X	156359			
MT2A	156360			
MT3	139255			
MT4	606206			
MTA1	603526			
MTA2	603947			
MTA3	609050			
MTAP	156540	Diaphyseal medullary stenosis with malignant fibrous histiocytoma	112250	AD
MTARC1	614126			
MTARC2	614127			
MTBP	605927			
MTCH1	610449			
MTCH2	613221			
MTCL1	615766			
MTCP1	300116			
MTDH	610323			
MTERF1	602318			
MTERF2	616929			
MTERF3	616930			
MTERF4	615393			
MTF1	600172			
MTF2	609882			
MTFMT	611766	Combined oxidative phosphorylation deficiency 15; Mitochondrial complex I deficiency, nuclear type 27	614947; 618248	AR
MTFP1	610235			
MTFR1	619414			
MTG2	610919			
MTHFD1	172460	{Neural tube defects, folate-sensitive, susceptibility to}; Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia	601634; 617780	AR
MTHFD1L	611427			
MTHFD2	604887			
MTHFD2L	614047			
MTHFR	607093	{Vascular disease, susceptibility to}; Homocystinuria due to MTHFR deficiency; {Thromboembolism, susceptibility to}; {Schizophrenia, susceptibility to}; {Neural tube defects, susceptibility to}	<NA>; 236250; 188050; 181500; 601634	AR; AD
MTHFS	604197	Neurodevelopmental disorder with microcephaly, epilepsy, and hypomyelination	618367	AR
MTHFSD	616820			
MTIF2	603766			
MTIF3	619554			
MTM1	300415	Myopathy, centronuclear, X-linked	310400	XLR
MTMR1	300171			
MTMR12	606501			
MTMR14	611089	{Centronuclear myopathy, autosomal, modifier of}	160150	AD
MTMR2	603557	Charcot-Marie-Tooth disease, type 4B1	601382	AR
MTMR3	603558			
MTMR4	603559			
MTMR6	603561			
MTMR7	603562			
MTMR8	301061			
MTMR9	606260			
MTNR1A	600665			
MTNR1B	600804	{Diabetes mellitus, type 2, susceptibility to}	125853	AD
MTO1	614667	Combined oxidative phosphorylation deficiency 10	614702	AR
MTOR	601231	Focal cortical dysplasia, type II, somatic; Smith-Kingsmore syndrome	607341; 616638	AD
MTPAP	613669	?Spastic ataxia 4, autosomal recessive	613672	AR
MTPN	606484			
MTR	156570	{Neural tube defects, folate-sensitive, susceptibility to}; Homocystinuria-megaloblastic anemia, cblG complementation type	601634; 250940	AR
MTRES1	618583			
MTREX	618122			
MTRF1	604601			
MTRF1L	613542			
MTRFR	613541	Spastic paraplegia 55, autosomal recessive; Combined oxidative phosphorylation deficiency 7	615035; 613559	AR
MTRNR2L1	616985			
MTRR	602568	Homocystinuria-megaloblastic anemia, cbl E type; {Neural tube defects, folate-sensitive, susceptibility to}	236270; 601634	AR
MTSS1	608486			
MTSS2	616951	Intellectual developmental disorder with ocular anomalies and distinctive facial features	620086	
MTTP	157147	{Metabolic syndrome, protection against}; Abetalipoproteinemia	605552; 200100	AR; AD
MTUS1	609589			
MTUS2	619358			
MTX1	600605			
MTX2	608555	Mandibuloacral dysplasia progeroid syndrome	619127	AR
MTX3	619336			
MUC1	158340	Tubulointerstitial kidney disease, autosomal dominant, 2	174000	AD
MUC12	604609			
MUC13	612181			
MUC15	608566			
MUC16	606154			
MUC17	608424			
MUC19	612170			
MUC2	158370			
MUC20	610360			
MUC21	616991			
MUC22	613917			
MUC3A	158371			
MUC3B	605633			
MUC4	158372			
MUC5AC	158373			
MUC5B	600770	{Pulmonary fibrosis, idiopathic, susceptibility to}	178500	AD
MUC6	158374			
MUC7	158375	{Asthma, protection against}	600807	AD
MUC8	601932			
MUCL1	610857			
MUCL3	613928			
MUL1	612037			
MUS81	606591			
MUSK	601296	Fetal akinesia deformation sequence 1; Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency	208150; 616325	AR
MUSTN1	617195			
MUTYH	604933	Adenomas, multiple colorectal; Gastric cancer, somatic	608456; 613659	AR
MVD	603236	Porokeratosis 7, multiple types	614714	AD
MVK	251170	Hyper-IgD syndrome; Porokeratosis 3, multiple types; Mevalonic aciduria	260920; 175900; 610377	AR; AD
MVP	605088			
MX1	147150			
MX2	147890			
MXD1	600021			
MXD3	609450			
MXD4	620016			
MXI1	600020	Prostate cancer, somatic; Neurofibrosarcoma, somatic	176807; <NA>	
MXRA5	300938			
MXRA8	617293			
MYADM	609959			
MYB	189990	{T-cell acute lymphoblastic leukemia}		
MYBBP1A	604885			
MYBL1	159405			
MYBL2	601415			
MYBPC1	160794	Myopathy, congenital, with tremor; Lethal congenital contracture syndrome 4; Arthrogryposis, distal, type 1B	618524; 614915; 614335	AR; AD
MYBPC2	160793			
MYBPC3	600958	Cardiomyopathy, hypertrophic, 4; Cardiomyopathy, dilated, 1MM; Left ventricular noncompaction 10	115197; 615396; 615396	AD; AR, AD
MYBPH	160795			
MYBPHL	619807			
